Name,Brand,Compatible_Chipsets,Socket,PassMark_Average_Score,Price,TDP,Core_Count,Thread_Count,Clock_Speed,Max_Clock_Speed
AMD Ryzen 9 7900X,AMD,"X670E, X670, B650E, B650",AM5,52491,382,170,12,24,4.7,5.6
AMD Ryzen 7 7700X,AMD,"X670E, X670, B650E, B650",AM5,36549,297,105,8,16,4.5,5.4
AMD Ryzen 5 7600X,AMD,"X670E, X670, B650E, B650",AM5,28967,235,105,6,12,4.7,5.3
AMD Ryzen 9 5900X,AMD,"X570, B550, A520, X470, B450",AM4,39313,300,105,12,24,3.7,4.8
AMD Ryzen 7 5800X,AMD,"X570, B550, A520, X470, B450",AM4,28071,239,105,8,16,3.8,4.7
AMD Ryzen 5 5700X,AMD,"X570, B550, A520, X470, B450",AM4,26826,185,65,8,16,3.4,4.6
Intel Core i9-13900K,Intel,"Z790, Z690",LGA1700,60024,568,253,8,16,3,5.8
Intel Core i7-13700K,Intel,"Z790, Z690",LGA1700,47055,416,253,8,16,4.2,5.4
Intel Core i5-13600K,Intel,"Z790, Z690",LGA1700,38505,310,181,6,12,3.5,3.9
Intel Core i9-11900K,Intel,"Z590, Z490, B460",LGA1200,25498,301,125,8,16,3.5,5.2
Intel Core i7-11700K,Intel,"Z590, Z490, B460",LGA1200,24677,276,125,8,16,3.6,5
Intel Core i5-11600K,Intel,"Z590, Z490, B460",LGA1200,19739,180,125,6,12,3.9,4.9
