"Name","Brand","Price","Chipset","Socket","Form_Factor","Expansion_Slots","Storage_Slots","RAM_Type","RAM_Interface","RAM_Max_Speed","RAM_Max_Capacity","RAM_Max_Channels"
Asus ROG Crosshair VIII Dark Hero,Asus,390,X570,AM4,ATX,"2x PCIe 4.0 x16,
1x PCIe 3.0 x16","3x M.2,
8x SATA",DDR4,DIMM,4866,128,4
Asus ROG Strix B550-E Gaming,Asus,301,B550,AM4,ATX,"2x PCIe 4.0 x16,
1x PCIe 3.0 x16","2x M.2,
6x SATA",DDR4,DIMM,4733,128,4
ASRock A520M ITX/ac,ASRock,100,A520,AM4,M-ATX,1x PCIe 3.0 x16,"1x M.2,
4x SATA ",DDR4,DIMM,4600,64,2
Gigabyte X670 Aorus Elite AX,Gigabyte,289,X670,AM5,ATX,"1x PCIe 4.0 x16,
1x PCIe 4.0 x4,
1x PCIe 3.0 x2","4x M.2,
4x SATA",DDR5,DIMM,6666,128,4
Asus TUF Gaming B650 Plus WiFi,Asus,239,B650,AM5,ATX,"1x PCIe 5.0 x16,
2x PCIe 4.0 x4","3x M.2,
4x SATA",DDR5,DIMM,6400,128,2
ASUS ROG Maximus Z790 Hero,Asus,630,Z790,LGA1700,ATX,"2x PCIe 5.0 x16,
1x PCIe 4.0 x4","5x M.2,
6x SATA",DDR5,DIMM,7800,128,4
MSI MPG Z790 Carbon WiFi,MSI,470,Z790,LGA1700,ATX,"2x PCIe 5.0 x16,
1x PCIe 4.0 x4","5x M.2,
6x SATA",DDR5,DIMM,7600,128,4
ASUS ROG Strix Z790-A Gaming WiFi D4,Asus,355,Z790,LGA1700,ATX,"1x PCIe 5.0 x16,
2x PCIe 4.0 x4,
1x PCIe 3.0 x1","4x M.2,
4x SATA",DDR4,DIMM,5333,128,4
MSI Z490-A PRO ProSeries ATX,MSI,100,Z490,LGA1200,ATX,2x PCIe 3.0 x16,"2x M.2,
6x SATA",DDR4,DIMM,4800,128,4
ASUS Prime Z490-A LGA 1200 ATX,Asus,246,Z490,LGA1200,ATX,2x PCIe 3.0 x16,2x M.2,DDR4,DIMM,4600,128,4
ASROCK B460M PRO4,ASRock,104,B460,LGA1200,M-ATX,"2x PCIe 3.0 x16,
1x PCIe 3.0 x1","1x M.2,
6x SATA",DDR4,DIMM,2933,128,4
